id,uf,municipio,codigo_ibge,regiao,canal,subcanal,tier,qtd_pontos_estimados,fluxo_diario_estimado,ticket_medio_estimado,faturamento_mensal_estimado,prioridade_expansao,fonte_dado,ano_base,metodologia_aplicada,nivel_confianca
183,RS,Rio Grande,4315602,Sul,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
184,RS,Sapucaia do Sul,4320008,Sul,academia,academia/studio de rede (big-box),premium,3,1100,12.0,35640.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
185,SC,Camboriú,4203204,Sul,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
186,SC,Interior de SC,,Sul,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,baixo
187,SC,Navegantes,4211306,Sul,academia,academia/studio de rede (big-box),premium,5,1100,12.0,59400.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
188,SC,São Bento do Sul,4215802,Sul,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
189,SC,Tubarão,4218707,Sul,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
190,SP,Mauá,3529401,Sudeste,academia,academia/studio de rede (big-box),premium,3,1100,12.0,35640.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
191,SP,Ribeirão Preto,3543402,Sudeste,academia,academia/studio de rede (big-box),premium,5,1100,12.0,59400.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
192,SP,Santos,3548500,Sudeste,academia,academia/studio de rede (big-box),premium,4,1100,12.0,47520.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
193,SP,São José do Rio Preto,3549805,Sudeste,academia,academia/studio de rede (big-box),premium,3,1100,12.0,35640.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
194,SP,São José dos Campos,3549904,Sudeste,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
195,SP,Sorocaba,3552205,Sudeste,academia,academia/studio de rede (big-box),premium,6,1100,12.0,71280.0,2,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
196,PR,Curitiba,4106902,Sul,aeroporto,aeroporto com voos regulares,premium,5,16500,12.0,59400.0,2,ANAC - Relatório de Demanda e Oferta / Concessões,2025,SAM aeroporto 18 × peso[pib_concentrado{'beta': 1.5}] × densidade 1 × split premium 100%,medio
197,BA,Camaçari,2905701,Nordeste,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
198,PR,Maringá,4115200,Sul,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
199,PR,Ponta Grossa,4119905,Sul,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
200,RJ,Duque de Caxias,3301702,Sudeste,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
201,RJ,Nova Iguaçu,3303500,Sudeste,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
202,RJ,Rio de Janeiro,3304557,Sudeste,hospital,hospital geral/especializado grande porte,premium,6,2200,12.0,71280.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
203,RJ,São Gonçalo,3304904,Sudeste,hospital,hospital geral/especializado grande porte,premium,4,2200,12.0,47520.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
204,RS,Canoas,4304606,Sul,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
205,RS,Caxias do Sul,4305108,Sul,hospital,hospital geral/especializado grande porte,premium,6,2200,12.0,71280.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
206,RS,Pelotas,4314407,Sul,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
207,SC,Blumenau,4202404,Sul,hospital,hospital geral/especializado grande porte,premium,6,2200,12.0,71280.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
208,SC,Itajaí,4208203,Sul,hospital,hospital geral/especializado grande porte,premium,4,2200,12.0,47520.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
209,SC,São José,4216602,Sul,hospital,hospital geral/especializado grande porte,premium,6,2200,12.0,71280.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
210,SP,Guarulhos,3518800,Sudeste,hospital,hospital geral/especializado grande porte,premium,3,2200,12.0,35640.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
211,SP,São Paulo,3550308,Sudeste,hospital,hospital geral/especializado grande porte,premium,4,2200,12.0,47520.0,2,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
212,BA,Itabuna,2914802,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,9,1325,7.5,107325.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
213,BA,Juazeiro,2918407,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,13,1325,7.5,155025.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
214,MG,Belo Horizonte,3106200,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,7,1325,7.5,83475.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
215,MG,Contagem,3118601,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,7,1325,7.5,83475.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
216,MG,Uberlândia,3170206,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,6,1325,7.5,71550.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
217,PR,Maringá,4115200,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,9,1325,7.5,107325.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
218,RJ,Campos dos Goytacazes,3301009,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,10,1325,7.5,119250.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
219,RJ,Magé,3302502,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,7,1325,7.5,83475.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
220,RJ,Niterói,3303302,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,11,1325,7.5,131175.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
221,RJ,Nova Iguaçu,3303500,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,8,1325,7.5,95400.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
222,RJ,São Gonçalo,3304904,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,13,1325,7.5,155025.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
223,RJ,Volta Redonda,3306305,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,6,1325,7.5,71550.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
224,RS,Caxias do Sul,4305108,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,12,1325,7.5,143100.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
225,RS,Gravataí,4309209,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,6,1325,7.5,71550.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
226,RS,Novo Hamburgo,4313409,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,8,1325,7.5,95400.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
227,RS,Pelotas,4314407,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,11,1325,7.5,131175.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
228,RS,Santa Maria,4316907,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,7,1325,7.5,83475.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
229,SC,Balneário Camboriú,4202008,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,9,1325,7.5,107325.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
230,SC,Blumenau,4202404,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,12,1325,7.5,143100.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
231,SC,Palhoça,4211900,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,9,1325,7.5,107325.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
232,SP,Campinas,3509502,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,9,1325,7.5,107325.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
233,SP,Santo André,3547809,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,6,1325,7.5,71550.0,2,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
234,BA,Feira de Santana,2910800,Nordeste,shopping,shopping center,convencional,8,21200,7.5,95400.00,2,ABRASCE - Censo Brasileiro de Shopping Centers,2025,lista nominal ABRASCE — censo de shoppings qualificados (ABL >= 15000 m2) × split por ABL (premium >= 40000 m2),medio
235,PR,Curitiba,4106902,Sul,shopping,shopping center,convencional,7,21200,7.5,83475.00,2,ABRASCE - Censo Brasileiro de Shopping Centers,2025,lista nominal ABRASCE — censo de shoppings qualificados (ABL >= 15000 m2) × split por ABL (premium >= 40000 m2),medio
236,PR,Curitiba,4106902,Sul,shopping,shopping center,premium,5,13200,12.0,59400.00,2,ABRASCE - Censo Brasileiro de Shopping Centers,2025,lista nominal ABRASCE — censo de shoppings qualificados (ABL >= 15000 m2) × split por ABL (premium >= 40000 m2),medio
237,BA,Alagoinhas,2900702,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,6,4417,7.5,71550.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
238,BA,Barreiras,2903201,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
239,BA,Ilhéus,2913606,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,10,4417,7.5,119250.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
240,BA,Interior de BA,,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,baixo
241,BA,Itabuna,2914802,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,13,4417,7.5,155025.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
242,BA,Itabuna,2914802,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
243,BA,Jequié,2918001,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,9,4417,7.5,107325.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
244,BA,Juazeiro,2918407,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
245,BA,Lauro de Freitas,2919207,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,11,4417,7.5,131175.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
246,BA,Lauro de Freitas,2919207,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
247,BA,Teixeira de Freitas,2931350,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
248,MG,Belo Horizonte,3106200,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
249,MG,Betim,3106705,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
250,MG,Contagem,3118601,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
251,MG,Interior de MG,,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,baixo
252,MG,Juiz de Fora,3136702,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
253,MG,Montes Claros,3143302,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,11,4417,7.5,131175.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
254,MG,Montes Claros,3143302,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
255,MG,Uberlândia,3170206,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
256,PR,Cascavel,4104808,Sul,supermercado,supermercado/hipermercado grande formato,convencional,13,4417,7.5,155025.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
257,PR,Cascavel,4104808,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
258,PR,Foz do Iguaçu,4108304,Sul,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
259,PR,Interior de PR,,Sul,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,baixo
260,PR,Interior de PR,,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,baixo
261,PR,São José dos Pinhais,4125506,Sul,supermercado,supermercado/hipermercado grande formato,convencional,11,4417,7.5,131175.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
262,PR,São José dos Pinhais,4125506,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
263,RJ,Angra dos Reis,3300100,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,6,4417,7.5,71550.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
264,RJ,Belford Roxo,3300456,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
265,RJ,Cabo Frio,3300704,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,6,4417,7.5,71550.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
266,RJ,Campos dos Goytacazes,3301009,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
267,RJ,Itaboraí,3301900,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,7,4417,7.5,83475.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
268,RJ,Macaé,3302403,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,10,4417,7.5,119250.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
269,RJ,Magé,3302502,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
270,RJ,Magé,3302502,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
271,RJ,Niterói,3303302,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
272,RJ,Nova Iguaçu,3303500,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,6,4417,12.0,71280.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
273,RJ,Petrópolis,3303906,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
274,RJ,Petrópolis,3303906,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
275,RJ,São João de Meriti,3305109,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
276,RJ,Volta Redonda,3306305,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
277,RJ,Volta Redonda,3306305,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
278,RS,Gravataí,4309209,Sul,supermercado,supermercado/hipermercado grande formato,premium,4,4417,12.0,47520.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
279,RS,Interior de RS,,Sul,supermercado,supermercado/hipermercado grande formato,convencional,8,4417,7.5,95400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,baixo
280,RS,Novo Hamburgo,4313409,Sul,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
281,RS,Novo Hamburgo,4313409,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
282,RS,Rio Grande,4315602,Sul,supermercado,supermercado/hipermercado grande formato,convencional,6,4417,7.5,71550.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
283,RS,Santa Maria,4316907,Sul,supermercado,supermercado/hipermercado grande formato,premium,5,4417,12.0,59400.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
284,RS,São Leopoldo,4318705,Sul,supermercado,supermercado/hipermercado grande formato,convencional,10,4417,7.5,119250.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
285,RS,Viamão,4323002,Sul,supermercado,supermercado/hipermercado grande formato,convencional,12,4417,7.5,143100.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
286,RS,Viamão,4323002,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
287,SC,Balneário Camboriú,4202008,Sul,supermercado,supermercado/hipermercado grande formato,convencional,11,4417,7.5,131175.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
288,SC,Balneário Camboriú,4202008,Sul,supermercado,supermercado/hipermercado grande formato,premium,3,4417,12.0,35640.0,2,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
